text,sentiment,category
"JSSC Jail Warden Recruitment 2025: Bumper vacancy of Jail Warden in Jharkhand, fill online form from this day",1,Business
Looking Beyond FDs : 4 Smart Alternative Investment Options To Grow Your Money,1,Business
US Economic Resilience Fuels Dollar Ascent Amidst Global Shifts,1,Business
曼達尼現象翻轉紐約 ！ 34歲穆斯林重塑選民結構 川普痛斥共產主義 | ETtoday國際新聞,1,Business
NFO Insight : Is Helios Small Cap Fund a smart bet amid smallcap market volatility ?,1,Market
Bihar: First phase of voting,1,Business
美政府停擺再破時長紀錄 對內外造成何種影響 ？ | 國際,1,Business
How America tariff nationalism is wrecking its China strategy – Firstpost,1,Business
Al-Riyadh newspaper | Silver continues to decline as traders continue to liquidate their positions,0,Business
新興市場蘊藏龐大投資價值,1,Business
Mauritius: Public debt - The infernal spiral,1,Business
"Zohran Mamdani Socialist : How socialist is Zohran Mamdani , the new mayor of New York ?",1,Business
"Baht market conditions: Closed at 32. 36, strengthening from the morning as gold prices moved up.",1,Market
Drought at planting and deluge at harvest push Nepali farmers to despair,1,Business
Drought at planting and deluge at harvest push farmers to despair,1,Business
解析高市政權的國際課題與人事布局 ： 安倍復刻版 ？ 讓子彈飛一會兒 - TNL The News Lens 關鍵評論網,1,Business
"Gold shines again! Gold price returns to US$4,000, is a golden opportunity coming again? _ china.com",1,Business
Green  Obsession Feeds Orthodoxy and Starves Growth – Watts Up With That ?,1,Business
Looking beyond fixed deposits ? Here are 5 investment options to consider,1,Business
The Market Pulse : Decoding Fear and Opportunity Through the VIX Amidst Commodity Market Influences,1,Market
Trump Drug Price Announcement Had Some Drama Today,1,Business
"Gold slips below $4 , 000 as bullish momentum fades , eyes on Fed speakers",1,Business
"Asian Markets Navigate Choppy Waters : A Mixed Performance on November 4 , 2025",1,Market
Russia's queen: Energy,1,Business
"Innovative drugs, attacking from the siege|Pharmaceutical companies|Generic drugs|New drug research and development|Fosun Pharma _ NetEase subscription",1,Business
"Innovative drugs, attacking from a siege - DoNews Column",1,Business
"India needs world - class banks ; in talks with RBI , lenders : FM",1,Policy
He shook up US politics by breaking new ground: Who is Zohran Mamdani?,1,Business
Global markets remain positive,1,Market
Marico awards its integrated media mandate to Omnicom Media Group PHD India | Advertising,1,Business
The United States is planning to form a club...,1,Business
Trump misleads on deportations and inflation in first  60 Minute interview since 2020,0,Economy
The Fading Luster : Is the  Gold Rush Over  While Stocks Remain  Overheated ?,1,Market
Marriott International Rewards Shareholders with Robust $0 . 67 Quarterly Dividend,1,Business
"Alvotech and Advanz Pharma Receive Marketing Authorisations for Gobivaz® , a Biosimilar to Simponi® ( golimumab ), from the MHRA",1,Market
The escalation of the debts of major countries raises concerns about global economic stability,1,Business
This is why Australia is BROKEN : Pauline Hanson gives one of her most controversial speeches ever at Trump Mar - a - Lago Club as she unloads on the Albanese government,1,Business
Sun Life Reports Third Quarter 2025 Results,1,Business
Tech Titans Defy Market Gloom : Apple Leads as AI and Strong Earnings Fuel Resilience,1,Market
Here are the 5 issues to watch at COP30 in Brazil,1,Business
From 1979 to Trump 47 : How the West Built Iran Monster From hostage crisis to superpower . by Aynaz Anni Cyrus,0,Business
Tronox Reports Third Quarter 2025 Financial Results,1,Business
Futures Rebound From Session Lows As Government Shutdown Becomes Longest Ever,1,Business
"Tronox : Press Release of Q3 2025 Report ,",1,Business
"Yum ! Brands , Inc . ( NYSE : YUM ) Q3 2025 Earnings Call Transcript",1,Business
Array Technologies ( ARRY ) Q3 2025 Earnings Call Transcript,1,Business
Onity Group Announces Third Quarter 2025 Results,1,Business
U . S . Immigration Updates – November 2025,1,Business
"Brilliant Earth Group , Inc . ( NASDAQ : BRLT ) Q3 2025 Earnings Call Transcript",1,Business
Viatris Reports Third Quarter 2025 Results and Updates 2025 Financial Guidance,1,Business
Power Integrations ( POWI ) Earnings Transcript,1,Business
Nasdaq Composite surges 151 points amid U . S . stocks resurgance,1,Market
U . S . stock markets record across - the - board gains Wednesday,1,Market
Payoneer ( PAYO ) Q3 2025 Earnings Call Transcript,1,Business
"Republican gubernatorial candidate Vivek Ramaswamy visits Columbiana County | News , Sports , Jobs",1,Business
"Ramaswamy visits county GOP headquarters | News , Sports , Jobs",1,Business
Latin America Sees Massive Crypto Adoption . What This Means For the Local Economy,1,Business
Itafos Reports Outstanding Q3 2025 Performance and Mechanical Completion of the H1 / NDR Mine,1,Business
Bentley Incorporated : Full Transcript BSY Q3 2025 Results,1,Business
Testing Russia. Hopes were dashed on October 21,1,Business
Happiness is a Filipino Opinion & Editorial Columnists,1,Business
Wolverine ( WWW ) Q3 2025 Earnings Call Transcript,1,Business
Canadian expert: Don’t be dragged into the water by the United States! Hurry up to attract Chinese car manufacturers! – Overseas Chinese Network,1,Business
"Takaichi Sanae strengthens Japan-U.S. alliance, Asia-Pacific security pattern faces new variables _ News Channel _ China Youth Network",1,Business
Enovix Announces Third Quarter 2025 Financial Results,1,Business
Three years of Meloni : A model for the international far right,1,Business
Assessing Indian Inflation Targeting,0,Economy
India CPI inflation easing to 0 . 4 - 0 . 6 % in Oct on softer commodity prices : BoB,0,Economy
"India Import Bill: Double attack on India's treasury... Government's tension increased, who is responsible for changing the mathematics?",1,Business
Indian Rupee ticks lower despite optimism on US - India trade deal,1,Business
Statement from CBRT President Fatih Karahan on rent inflation and KKM,0,Economy
"Daily Voice : AI bubble burst could hit global markets , help India later , says Marcellus Investment Manager Gubbi",1,Market
India CPI Inflation Eases to 0 . 4 - 0 . 6 % in October 2025,0,Economy
"Why HSBC sees Sensex at 94 , 000 by December 2026 ; check 3 key reasons",1,Business
October CPI Inflation Expected to Moderate Further Economists,0,Economy
"Sensex projected to touch 94 , 000 by 2026 end , worst is over for Indian equities : Report",1,Business
The hidden economics of basmati : How export margins are shrinking amid global inflation,0,Economy
"SBI transformed from being in loss in 2018 to USD 100 bn company , due to regulatory reforms by RBI : Governor Malhotra",0,Policy
"CPI inflation in October to moderate further , outlook remains benign : Economists",0,Economy
"Domestic 10 yr govt bond yield to trade in 6 . 48 - 6 . 58 % range in Nov , downward bias likely on higher FII inflow : BoB Report",1,Business
Statement from Minister Şimşek about single-digit inflation,0,Economy
Milli Council releases white paper on Nitish Kumar governance in Bihar,1,Business
"This Gold ETF Breaks Records, Could It Be an Investment Choice?",1,Business
"Gold Price: Is gold expensive now or has it become very cheap, when is the right time to buy? NYU professor explained in two points - gold price analysis is gold expensive now nyu professor explains",1,Business
"Nifty , Sensex continue to decline for 2nd week amid FII outflows , weak global cues",0,Business
"Gujarat ranked 20th in the country on Human Development Index, food prices increased but not incomes",1,Business
"Stock market rampage, Sensex breaks 1300 points in 3 days, what are the reasons, Stock market rampage, Sensex breaks 1300 points in 3 days, what are the reasons, Business Hindi News",1,Market
Onion price manipulation,1,Business
"Petrol Diesel Price Today, 08 November 2025 : Check here Maharashtra India Petrol and Diesel Price in Marathi | Petrol-diesel prices changed again today? See what the price is in your city!",1,Business
"Trump punishes India with tariffs on imports of Russian crude oil, tolerates Hungary for one year",1,Business
Bridgewater founder Dalio warns: The Fed’s quantitative easing is back! Could trigger a bubble-level frenzy,1,Business
Bridgewater founder Dalio warns: The Fed’s quantitative easing is back! May trigger bubble-level mania _ Gold Market Live _ Gold Network _ CICC Online,1,Market
Why is sharp crude spike still a big risk for India ? Morgan Stanley explains,1,Business
The dangerous allure of freebies : India fiscal populism and its hidden cost,1,Business
RBI Denies Selling 35 Tonnes Gold from Reserves,1,Policy
Airbnb buoyed by international demand in Q3,1,Business
"Gold becomes cheaper by ₹ 10 thousand in India, ₹ 4 in Pakistan. 20 lakh per tola price, economic instability increased the price gap",1,Business
Rural demand surge : Countryside drives India consumption rebound ; urban growth seen picking up in Q3 FY26,1,Business
Uncertainties regarding US data limit risk appetite in markets,1,Market
Palm oil is still in a downward channel _ Oriental Fortune Network,1,Business
Smallcap stocks tumble up to 46 % as broader indices snap two - week winning streak,1,Market
"Economic revival , consumption boost and smallcap turnaround : Varun Goel sees broad - based market optimism",1,Market
"European equity futures uneventful , Reeves considering a 2p rise in income tax ; US to block Nvidia scaled back chip to China - Newsquawk European Opening News",1,Business
"Expert: By the New Year, prices for red caviar will increase by 5 - 7% :: News of the day / VIEW",1,Business
[Global Market Report November 7],1,Market
"Stock market: Good signs regarding improvement in corporate earnings, strategy of buying on decline will work.",1,Market
Emerging Markets Grapple with Currency Pressures and Capital Outflows Amidst Global Uncertainty,1,Market
How much you really need to earn Rs 1 lakh a month after retirement,1,Business
5 Insightful Analyst Questions From Colgate - Palmolive Q3 Earnings Call,1,Business
Minister of Treasury and Finance Şimşek: We will also see single digit inflation,0,Economy
Experts point out the key points causing inflationary pressure and public debt,0,Economy
Experts point out the key factors causing inflationary pressure and public debt,0,Economy
"Cyprus is a pole of investment interest for Greek banks - The reasons for attracting Eurobank, Alpha Bank and NGE",1,Finance
"Preparing for the Shift : Gold , Silver and Sound Money in a Digital Era ft . Lynette Zang",1,Business
"CPI Inflation: Bank of Baroda released consumer price index data! In the month of October, inflation is under control except for potato",0,Economy
Voters complain about the poor economy and target Trump - International - People's Daily Online,1,Business
Wall Street in danger of correction? Everyone is buzzing about the overvaluation of US stocks: How to protect yourself from shocks,1,Market
Who will be hurt if Cambodia wants to store gold in China? The global financial landscape is quietly changing _ Military Channel _ China.com,1,Business
You are the exception. Trump punishes imports of Russian crude oil with tariffs in India and tolerates them in Hungary for one year.,1,Business
Google Finance Deep Search Turns You Into a Wall Street Research Analyst,1,Business
"Hindalco domestic biz fires up Q2 earnings , net profit up 18 % q - o - q",1,Business
"Week Ahead for FX , Bonds : Focus on U . S . Shutdown Developments , China Data",1,Business
Are the US and China in a trade dispute?,1,Business
Silver Price Forecast : XAG / USD rises to near $48 . 50 as Fed rate cut bets increase,1,Business
Experts warn there is no free lunch in macroeconomic management,1,Business
Şimşek: We will also see single digit inflation,0,Economy
